,0
214,0.920863
215,-0.7377317
216,-1.8261876
217,1.3286309
218,2.0458913
219,1.3954017
220,0.20861816
221,-0.02831754
222,1.9775479
223,1.0338817
224,0.68569595
225,-0.38938984
226,0.7829148
227,0.79877836
228,-0.2891781
229,-0.32248542
230,-0.6428317
231,-0.11269929
232,-0.078617424
233,-0.3087682
234,0.91860944
235,1.2121544
236,-1.1004002
237,-0.21714585
238,0.75146043
239,1.1406491
240,-1.6901753
241,-0.03819114
242,0.17256725
243,-0.75146866
244,0.025821403
245,1.0078368
246,-0.32646865
247,-0.63222075
248,-0.026889041
249,-1.0569739
250,-0.581439
251,-1.5714412
252,-0.28246412
253,-0.1919668
254,0.7193449
255,1.1410222
256,-0.2788052
257,0.9555858
258,0.1116018
259,-1.6157303
260,0.1375537
261,-0.6205416
262,0.6321253
263,1.3233037
264,-0.1951346
265,1.3423045
266,-1.2315893
267,0.67312545
268,0.8028
269,-0.22397801
270,-0.6670064
271,-0.11507337
272,0.8047908
273,0.04931423
274,0.29409134
275,-0.69193655
276,-0.11421042
277,0.83235
278,-0.9525079
279,-0.8293009
280,0.8106262
281,-0.3631778
282,0.22916189
283,0.02484101
284,0.047837988
285,-0.2907711
286,1.2351186
287,-1.0026511
288,-0.7113141
289,-0.35322785
290,0.9251277
291,-0.77948576
292,0.83298594
293,-0.69836056
294,-1.0220644
295,0.10648593
296,-0.36931047
297,-1.0753875
298,-0.00050485134
299,0.8755613
300,-1.8290198
301,0.8080959
302,0.0939199
303,-0.6992039
304,0.09608847
305,0.018479332
306,-0.14537829
307,1.2465129
308,-0.10411373
309,0.17366898
310,0.13326155
311,1.3541756
312,1.173924
313,0.18353122
314,0.1669532
315,0.7954182
316,-0.6789468
317,0.89845663
318,0.035378605
319,-1.1514904
320,-0.02812919
321,0.095316336
322,0.67586863
323,1.5805008
324,-0.80775255
325,0.123590454
326,1.004986
327,0.86855584
328,1.3043804
329,-0.1553132
330,-0.2502014
331,-0.090342216
332,0.6961296
333,-0.9210895
334,-0.18279476
335,-0.8111033
336,0.07654405
337,0.58987373
338,-0.9839143
339,-0.4074369
340,0.85071933
341,0.82292217
342,-0.2669009
343,0.89905494
344,-0.68970877
345,-0.8886034
346,0.9153474
347,-0.94550115
348,0.007014051
349,-0.64107597
350,-0.6994361
351,1.3384976
352,-0.017157696
353,-0.98296493
354,-0.058136743
355,0.15827873
356,0.063608915
357,0.25777608
358,-0.058037296
359,-0.060389377
360,-0.5612132
361,-0.009041205
362,0.19675016
363,0.84189284
364,0.075095266
365,0.17349857
366,1.3752468
