TUCASEID,TULINENO,WECANTRIL,WEGENHTH,WEHBP,WEPAINMD,WEREST,WETYPICAL,WRTELIG,WUFINLWGT,WXCANTRIL,WXGENHTH,WXHBP,WXPAINMD,WXREST,WXTYPICAL
20130111121180,1,5,3,2,2,1,3,833,5158049.595668,0,0,0,0,0,0
20130111121181,1,10,1,2,2,3,2,735,17591861.499470,0,0,0,0,0,0
20130111121217,1,7,4,2,2,2,2,1000,7178792.156134,0,0,0,0,0,0
20130111121225,1,8,3,1,2,2,2,860,2973236.596089,0,0,0,0,0,0
20130111121340,1,8,2,2,2,1,1,793,19415667.804334,0,0,0,0,0,0
20130111121399,1,10,4,2,2,1,2,720,19415057.262670,0,0,0,0,0,0
20130111121436,1,10,1,2,2,1,1,930,10353421.337903,0,0,0,0,0,0
20130111121468,1,8,3,2,2,1,2,990,7102431.338585,0,0,0,0,0,0
20130111121470,1,10,2,2,2,2,1,849,1881372.819758,0,0,0,0,0,0
20130111121479,1,10,3,1,1,1,2,870,14782715.619288,0,0,0,0,0,0
20130111121481,1,7,4,1,2,2,2,852,1732235.392093,0,0,0,0,0,0
20130111121571,1,5,2,1,1,4,3,1085,5234399.915705,0,0,0,0,0,0
20130111121598,1,3,1,2,1,1,1,935,14898609.547040,0,0,0,0,0,0
20130111121612,1,8,2,1,1,2,2,1015,11292957.320489,0,0,0,0,0,0
20130111121616,1,7,3,2,2,1,2,870,7231103.348846,0,0,0,0,41,0
20130111121618,1,10,1,2,2,1,2,600,3962004.305034,0,0,0,0,0,0
20130111121638,1,8,2,2,1,2,2,865,8262371.225622,0,0,0,0,0,0
20130111121645,1,7,2,2,2,4,2,939,8008361.772988,0,0,0,0,0,0
20130111121652,1,8,1,2,2,3,2,915,7772123.426895,0,0,0,0,0,0
20130111121658,1,8,2,2,2,1,2,854,2052927.038439,0,0,0,0,0,0
20130111121662,1,7,2,1,2,1,2,735,27867993.261268,0,0,0,0,0,0
20130111121669,1,5,2,2,1,2,2,771,12573645.426024,0,0,0,0,0,0
20130111121683,1,4,4,2,2,2,2,960,3372093.771120,0,0,0,0,0,0
20130111121705,1,10,3,2,2,1,2,895,8898947.445116,0,0,0,0,0,0
20130111121724,1,5,3,2,1,2,2,625,1972862.886917,0,0,0,0,0,0
20130111121740,1,8,2,2,2,3,2,887,6197398.781844,0,0,0,0,0,0
20130111121751,1,7,4,1,1,2,1,790,4038773.849354,0,0,0,0,0,0
20130111121758,1,8,4,2,2,1,2,990,15229809.208257,0,0,0,0,0,0
20130111121777,1,8,1,1,2,1,2,1023,4765814.126567,0,0,0,0,0,0
20130111121778,1,10,4,1,1,2,2,990,13051327.702630,0,0,0,0,0,0
20130111121799,1,8,1,2,2,2,2,900,3073301.336296,0,0,0,0,0,0
20130111121805,1,8,3,2,1,1,2,750,13516319.727033,0,0,0,0,0,0
20130111121807,1,7,2,2,2,3,1,955,9169616.745306,0,0,0,0,0,0
20130111121865,1,6,2,2,2,3,3,956,2004716.843547,0,0,0,0,0,0
20130111121903,1,8,2,2,2,1,3,780,2784198.961763,0,0,0,0,0,0
20130111121922,1,6,4,1,1,2,1,1110,5183960.596169,0,0,0,0,0,0
